artist,categories,date_added,dated,description,dimensions,height,image,location,medium,price,title,url,width
,insunsh,2015-05-19,19th century,"sari, green silk gauze.  All-over diaper pattern woven in gold thread.",L.176 x W.40 in.,,http://pstrial-2019-12-16.toscrape.com/content/21361.jpg,Not on View,"silk, metal thread",596.43,Sari,http://pstrial-2019-12-16.toscrape.com/item/21361/Sari?back=155,
,insunsh,2012-10-23,c. 1730,"card table, square, folding with corners shaped into round plates for candles. Hinged backed with stay; cabriole legs with weak claw and ball foot in front and pad feet in back; the knees are carved with a shell motif, and a simple scrolling on the inner knee forms the ear; top covered with green felt",28 x 32 1/2 x 29in. (71.1 x 82.6 x 73.7cm),,http://pstrial-2019-12-16.toscrape.com/content/21129.jpg,Not on View,Mahogany,761.06,Card table,http://pstrial-2019-12-16.toscrape.com/item/21129/Card_table?back=155,
,insunsh,2013-11-15,c. 1740,"""Cushion of a Representative to the States General of the United Provinces."" Amsterdam tapestry Armorial Cushion. Back dated 1740. Woven with a coroneted Coat of Arms within a garland of endive. This is surrounded by the coroneted shields of the seven provinces of Holland. Deep blue ground, trailing branches of fruit. Woven Fabric.",26 3/8 x 29 1/2 x 10 in. (66.99 x 74.93 x 25.4 cm),,http://pstrial-2019-12-16.toscrape.com/content/20972.jpg,Not on View,,526.02,Cushion,http://pstrial-2019-12-16.toscrape.com/item/20972/Cushion?back=155,
,insunsh,2016-08-22,19th century,pillow border embroidered on natural linen in green silk in Moorish diagonal and straight stitch in conventional flower pot and tree design; edge finished with buttonhole stitch,5 x 16 in. (12.7 x 40.6 cm),40.6,http://pstrial-2019-12-16.toscrape.com/content/20956.jpg,Not on View,Embroidered silk on linen,637.79,Pillow border,http://pstrial-2019-12-16.toscrape.com/item/20956/Pillow_border?back=155,12.7
,insunsh,2017-04-17,19th century,"towel, natural linen embroidered at each end with a border in a stylized tree design; this border is in turn surrounded by a narrow line of stitiching at the top of which is a row of very stiff single flowers; red, rose, yellow, and blue predominate",27 3/4 x 18 3/4 in. (70.49 x 47.63 cm),47.63,http://pstrial-2019-12-16.toscrape.com/content/20949.jpg,Not on View,"Silk, metallic thread; embroidery",263.24,Towel,http://pstrial-2019-12-16.toscrape.com/item/20949/Towel?back=155,70.49
,insunsh,2009-10-01,18th century,"sauce pan, possibly a caudle cup, with a wooded handle, and small lip spout",2 1/2 x 10 x 5 5/8in. (6.4 x 25.4 x 14.3cm),,http://pstrial-2019-12-16.toscrape.com/content/20883.jpg,Not on View,Pewter,52.13,Sauce pan,http://pstrial-2019-12-16.toscrape.com/item/20883/Sauce_pan?back=155,
Sean Scully,insunsh,2010-12-08,1997,color image of exterior light brown wall with irregular whitewashing at bottom--particularly at bottom; green doorway with arched door opening; rectangular window with white scrolling grate with blue material behind grate,"14 5/8 × 22 5/8 in. (37.15 × 57.47 cm) (sight)
23 7/16 × 31 7/16 × 1 7/16 in. (59.53 × 79.85 × 3.65 cm) (outer frame)",,http://pstrial-2019-12-16.toscrape.com/content/20841.jpg,Not on View,Chromogenic print,410.47,"#8, from ""Atlas Walls""",http://pstrial-2019-12-16.toscrape.com/item/20841/_8_from_Atlas_Walls_?back=155,
Franklin Peters,insunsh,2011-01-20,2014,"white ground with four rows of squared swirls in tight linear maze pattern; wide, round shape with no neck and small mouth",5 1/4 × 3 3/4 × 3 3/4 in. (13.34 × 9.53 × 9.53 cm),,http://pstrial-2019-12-16.toscrape.com/content/20663.jpg,G259,"Clay, pigments",618.58,Mazes Seed Pot,http://pstrial-2019-12-16.toscrape.com/item/20663/Mazes_Seed_Pot?back=155,
Hara Zaichū,insunsh,2008-01-21,1804,man in tattered clothing holding a cane glances up toward a miniaturized figure caught up in what looks like a swirl of smoke,"45 1/2 × 13 1/4 in. (115.57 × 33.66 cm) (image)
70 × 17 3/8 in. (177.8 × 44.13 cm) (without roller)",,http://pstrial-2019-12-16.toscrape.com/content/20586.jpg,Not on View,Ink and color on silk,68.51,Chinese Immortals,http://pstrial-2019-12-16.toscrape.com/item/20586/Chinese_Immortals?back=155,
,insunsh,2008-12-22,15th century,"plate, white earthenware",2 3/8 x 11 x 11 in. (6.03 x 27.94 x 27.94 cm),,http://pstrial-2019-12-16.toscrape.com/content/22347.jpg,Not on View,Stoneware with incised decor under white glaze,458.18,Plate,http://pstrial-2019-12-16.toscrape.com/item/22347/Plate?back=155,
