artist,categories,date_added,dated,description,dimensions,height,image,location,medium,price,title,url,width
"J. & E. Stevens Company, Cromwell, Connecticut, 1843-1950s",insunsh,2009-10-11,c. 1920s,"""Junior"" at top front; ""Cash"" on front of drawer; scrolls and floral motifs cast in relief on all surfaces",4 3/16 x 3 1/2 x 3 in. (10.64 x 8.89 x 7.62 cm),,http://pstrial-2019-12-16.toscrape.com/content/24906.jpg,Not on View,Iron,896.05,"""Junior Cash Register, Small"" still bank",http://pstrial-2019-12-16.toscrape.com/item/24906/_Junior_Cash_Register_Small_st?back=155,
,insunsh,2015-07-11,1897-1899,see object file for complete description of contents,16 3/4 x 12 5/8 in. (42.55 x 32.07 cm) (portfolio),32.07,http://pstrial-2019-12-16.toscrape.com/content/24789.jpg,Not on View,Color lithograph or photolithograph,533.9,,http://pstrial-2019-12-16.toscrape.com/item/24789/Untitled?back=155,42.55
,insunsh,2011-05-31,1897-1899,see object file for complete description of contents,16 3/4 x 12 5/8 in. (42.55 x 32.07 cm) (portfolio),32.07,http://pstrial-2019-12-16.toscrape.com/content/24726.jpg,Not on View,Color lithograph or photolithograph,276.06,,http://pstrial-2019-12-16.toscrape.com/item/24726/Untitled?back=155,42.55
,insunsh,2008-03-21,late 19th-early 20th century,"dark purple velvet; very wide, like a skirt, with small leg openings; three lines of gold couching in floral motifs on each leg; black waistband; white lining",39 1/8 x 48 in. (99.38 x 121.92 cm),121.92,http://pstrial-2019-12-16.toscrape.com/content/24406.jpg,Not on View,"Velvet, metallic threads, cotton; needlework",627.27,Shalvar pants,http://pstrial-2019-12-16.toscrape.com/item/24406/Shalvar_pants?back=155,99.38
,insunsh,2013-08-27,c. 1920,yellow central rectangle bordered with red containing black central medallion with orange and red floral design; ten small circles on either side of medallion; wide black borders with orange and red organic design bands,95 5/8 x 66 5/8 in. (242.89 x 169.23 cm),169.23,http://pstrial-2019-12-16.toscrape.com/content/24154.jpg,Not on View,Cotton; tied resist dye,319.34,Maternal veil (Pido),http://pstrial-2019-12-16.toscrape.com/item/24154/Maternal_veil_Pido_?back=155,242.89
"Larsen Design Studio,Boyle & Son Ltd.,Jack Lenor Larsen, Inc.",insunsh,2016-05-28,1957-1959,"Vert. stripes with chevrons. Orange, yellow & grey. Minas Golds",overall (Untrimmed): 32 x 51 1/4 in. (81.28 x 130.18 cm),130.18,http://pstrial-2019-12-16.toscrape.com/content/24008.jpg,Not on View,Vinyl; dyed,406.42,Thatch Rows,http://pstrial-2019-12-16.toscrape.com/item/24008/Thatch_Rows?back=155,81.28
"Larsen Design Studio,Steinberg,Bancroft, Arnold,Jack Lenor Larsen, Inc.",insunsh,2013-03-13,1965-1970,"Stylistic leaves and flowers.  Some up tp 12"". Vert. rpt. 23""; horiz. rpt. 27.5"". Red, blue green on white. Redwing",overall (Untrimmed): 54 1/2 x 56 1/2 in. (138.43 x 143.51 cm),143.51,http://pstrial-2019-12-16.toscrape.com/content/23967.jpg,Not on View,Cotton; dyed,375.08,Tanglewood,http://pstrial-2019-12-16.toscrape.com/item/23967/Tanglewood?back=155,138.43
,insunsh,2011-05-28,16th-17th century,green velvet (two small pieces stitched together),7 1/4 x 4 3/4 in. (18.42 x 12.07 cm),12.07,http://pstrial-2019-12-16.toscrape.com/content/26054.jpg,Not on View,Velvet,746.7,Velvet fragment,http://pstrial-2019-12-16.toscrape.com/item/26054/Velvet_fragment?back=155,18.42
,insunsh,2013-04-22,20th century,"panel, tie-dyed light blue and indigo cloth; cotton",62 x 41 in. (157.48 x 104.1 cm) (uneven),104.1,http://pstrial-2019-12-16.toscrape.com/content/25799.jpg,Not on View,"Cotton, indigo dye",602.39,Panel,http://pstrial-2019-12-16.toscrape.com/item/25799/Panel?back=155,157.48
Jerome Liebling,insunsh,2013-05-18,1962,,"15 3/8 x 15 5/16 in. (39.05 x 38.89 cm) (image)
15 15/16 x 17 7/16 in. (40.48 x 44.29 cm) (sheet)",38.89,http://pstrial-2019-12-16.toscrape.com/content/25695.jpg,Not on View,Gelatin silver print,364.82,"Worker, Packing House, South St. Paul",http://pstrial-2019-12-16.toscrape.com/item/25695/Worker_Packing_House_South_St_?back=155,39.05
Ramon J. Muxter,insunsh,2017-05-19,1984,,"8 13/16 x 13 1/4 in. (22.38 x 33.66 cm) (image)
15 7/8 x 19 15/16 in. (40.32 x 50.64 cm) (sheet)",33.66,http://pstrial-2019-12-16.toscrape.com/content/25627.jpg,Not on View,Gelatin silver print,617.5,Tub,http://pstrial-2019-12-16.toscrape.com/item/25627/Tub?back=155,22.38
Jaravcand Josi,insunsh,2011-07-19,1926,"Handpainted center with plain end panels.  Upper edge with Rope inserted in border.  Very faded lower left corner which is ripped and mended in three places.  Lower right corner in area 14.25 x 41 inches also rubbed and lacking pigments.  Rip along lower edge 75"" from lower edge. 1"" hole along upper edge 7-8"" from upper right corner.  Other paint losses along upper and lower borders.",322 x 49 1/2 in. (817.88 x 125.7 cm),125.7,http://pstrial-2019-12-16.toscrape.com/content/25559.jpg,Not on View,MIneral colors on Canvas,556.36,Painted Narrative Scroll of Devnarayan,http://pstrial-2019-12-16.toscrape.com/item/25559/Painted_Narrative_Scroll_of_De?back=155,817.88
Jeremiah Gurney,insunsh,2009-08-07,1869-1874,from wet plate negative,"3 1/4 x 5 7/8 in. (8.26 x 14.92 cm) (image)
3 3/8 x 6 7/8 in. (8.57 x 17.46 cm) (mount)",14.92,http://pstrial-2019-12-16.toscrape.com/content/25544.jpg,Not on View,Albumen print (stereocard),616.39,Annie Clark,http://pstrial-2019-12-16.toscrape.com/item/25544/Annie_Clark?back=155,8.26
Robert Gene Wilcox,insunsh,2017-03-30,20th century,,9 7/8 x 8 in. (25.08 x 20.32 cm) (sheet),20.32,http://pstrial-2019-12-16.toscrape.com/content/25533.jpg,Not on View,Gelatin silver print,195.42,Untitled (stack of wood),http://pstrial-2019-12-16.toscrape.com/item/25533/Untitled_stack_of_wood_?back=155,25.08
Rosalee Vogel,insunsh,2011-01-20,1959,letters on sign,"13 1/4 x 10 5/16 in. (33.66 x 26.19 cm) (image)
13 7/8 x 11 in. (35.24 x 27.94 cm) (sheet)",26.19,http://pstrial-2019-12-16.toscrape.com/content/25527.jpg,Not on View,Gelatin silver print,617.18,New York City,http://pstrial-2019-12-16.toscrape.com/item/25527/New_York_City?back=155,33.66
Jeremiah Gurney,insunsh,2016-12-30,1869-1874,from wet plate negative,"3 3/4 x 2 1/4 in. (9.53 x 5.72 cm) (image)
4 1/8 x 2 1/2 in. (10.48 x 6.35 cm) (mount)",5.72,http://pstrial-2019-12-16.toscrape.com/content/25422.jpg,Not on View,Albumen print (carte de visite),86.58,Untitle [portrait of an unidentified woman],http://pstrial-2019-12-16.toscrape.com/item/25422/Untitle_portrait_of_an_unident?back=155,9.53
Yoshida Tōshi (self-published),insunsh,2010-05-08,1973,,14 11/16 x 21 9/16 in. (37.3 x 54.8 cm) (sheet),54.8,http://pstrial-2019-12-16.toscrape.com/content/25377.jpg,Not on View,Woodblock print; ink and color on paper,632.48,Cardinals,http://pstrial-2019-12-16.toscrape.com/item/25377/Cardinals?back=155,37.3
"Joseph Mallord William Turner R.A.,John Horsburgh",insunsh,2016-12-14,19th century,,"4 5/8 x 2 13/16 in. (11.75 x 7.14 cm) (image)
11 3/4 x 17 3/16 in. (29.85 x 43.66 cm) (sheet)",7.14,http://pstrial-2019-12-16.toscrape.com/content/26648.jpg,Not on View,Engraving,692.36,"Napoleon's Logement, Quai Conti",http://pstrial-2019-12-16.toscrape.com/item/26648/Napoleon_s_Logement_Quai_Conti?back=155,11.75
"After Joseph Mallord William Turner R.A.,Edward Goodall",insunsh,2012-06-03,19th century,,"3 3/16 x 3 7/16 in. (8.1 x 8.73 cm) (image)
17 1/8 x 11 3/4 in. (43.5 x 29.85 cm) (sheet)",8.73,http://pstrial-2019-12-16.toscrape.com/content/26606.jpg,Not on View,Engraving,340.52,St. Pierre's Cottage,http://pstrial-2019-12-16.toscrape.com/item/26606/St_Pierre_s_Cottage?back=155,8.1
William Strang,insunsh,2008-07-26,1898,,4 3/8 x 12 5/16 in. (11.11 x 31.27 cm) (plate),31.27,http://pstrial-2019-12-16.toscrape.com/content/26457.jpg,Not on View,Etching,166.16,Ramparts of Ypres,http://pstrial-2019-12-16.toscrape.com/item/26457/Ramparts_of_Ypres?back=155,11.11
"Charles-Émile Jacque,Imp. Delatre",insunsh,2013-10-26,c. 1865,,"5 1/16 x 7 11/16 in. (12.86 x 19.53 cm) (plate)
13 3/16 x 17 3/4 in. (33.5 x 45.09 cm) (sheet)",19.53,http://pstrial-2019-12-16.toscrape.com/content/26451.jpg,Not on View,Etching,148.02,The Farrier's Shop,http://pstrial-2019-12-16.toscrape.com/item/26451/The_Farrier_s_Shop?back=155,12.86
Charles-Émile Jacque,insunsh,2010-11-28,1845,,"6 7/16 x 4 1/4 in. (16.35 x 10.8 cm) (plate)
15 1/8 x 12 in. (38.42 x 30.48 cm) (sheet)",10.8,http://pstrial-2019-12-16.toscrape.com/content/26439.jpg,Not on View,Etching,806.89,Landscape with Peasant Farmyard,http://pstrial-2019-12-16.toscrape.com/item/26439/Landscape_with_Peasant_Farmyar?back=155,16.35
Michel Le Blon,insunsh,2009-12-19,17th century,,3 7/16 x 2 3/8 in. (8.73 x 6.03 cm) (image),6.03,http://pstrial-2019-12-16.toscrape.com/content/26404.jpg,Not on View,Engraving,847.55,Durer's Coat of Arms,http://pstrial-2019-12-16.toscrape.com/item/26404/Durer_s_Coat_of_Arms?back=155,8.73
"Sir Frank Short,after Joseph Mallord William Turner R.A.",insunsh,2008-07-30,19th century,,7 5/16 x 10 3/16 in. (18.57 x 25.88 cm) (plate),25.88,http://pstrial-2019-12-16.toscrape.com/content/26397.jpg,Not on View,Mezzotint,266.12,"Swiss Bridge, Mont St. Gothard",http://pstrial-2019-12-16.toscrape.com/item/26397/Swiss_Bridge_Mont_St_Gothard?back=155,18.57
Jeremiah Gurney,insunsh,2012-06-12,1869-1874,from wet plate negative,"3 3/4 x 2 1/4 in. (9.53 x 5.72 cm) (image)
4 1/8 x 2 1/2 in. (10.48 x 6.35 cm) (mount)",5.72,http://pstrial-2019-12-16.toscrape.com/content/26295.jpg,Not on View,Albumen print (carte de visite),145.69,Untitled [portrait of an unidentified actress],http://pstrial-2019-12-16.toscrape.com/item/26295/Untitled_portrait_of_an_uniden?back=155,9.53
,insunsh,2008-06-23,19th-20th century,,19 1/4 x 10 1/8 in. (48.9 x 25.72 cm),25.72,http://pstrial-2019-12-16.toscrape.com/content/26267.jpg,Not on View,passementerie,655.88,Passementerie with Fringe,http://pstrial-2019-12-16.toscrape.com/item/26267/Passementerie_with_Fringe?back=155,48.9
John Szarkowski,insunsh,2008-06-09,1950,,"9 x 7 3/16 in. (22.86 x 18.26 cm) (image)
9 7/8 x 7 15/16 in. (25.08 x 20.16 cm) (sheet)",18.26,http://pstrial-2019-12-16.toscrape.com/content/26159.jpg,Not on View,Gelatin silver print,697.29,"Screen Porch, Hudson Wisconsin",http://pstrial-2019-12-16.toscrape.com/item/26159/Screen_Porch_Hudson_Wisconsin?back=155,22.86
Yanagawa Kōran,insunsh,2011-05-04,second half 19th century,"billowing mountains through left half of fan; three small buildings including a short pagoda nestled in the mountain crevasses through the center; trees and pine trees, represented by short, horizontal brushstrokes line the mountains; large stump with a tall tree at center in foreground; four line inscription at R with signature and rectangular relief stamp; short signature with two small square stamps at ULC; greenish-gold border at top and bottom; mounted to black board","7 5/8 × 18 in. (19.37 × 45.72 cm) (sheet)
12 15/16 × 21 15/16 in. (32.86 × 55.72 cm) (mount)",,http://pstrial-2019-12-16.toscrape.com/content/27439.jpg,Not on View,Ink on mica paper,700.51,Landscape,http://pstrial-2019-12-16.toscrape.com/item/27439/Landscape?back=155,
Kofushiwaki Tsukasa,insunsh,2011-04-13,2000,"4-part sculpture composed of long, black leaf like forms highlighted with red pigment, eminating from base like a fountain when assembled",82 11/16 × 50 × 13 3/4 in. (210.03 × 127 × 34.93 cm) (approx.),,http://pstrial-2019-12-16.toscrape.com/content/27398.jpg,Not on View,"Lacquer, hemp cloth, and stone",847.88,"A Leaf, so It Has a Back and Front",http://pstrial-2019-12-16.toscrape.com/item/27398/A_Leaf_so_It_Has_a_Back_and_Fr?back=155,
Joseph Mallord William Turner R.A.,insunsh,2015-10-26,19th century,,7 3/8 x 10 5/8 in. (18.73 x 26.99 cm) (image),26.99,http://pstrial-2019-12-16.toscrape.com/content/27305.jpg,Not on View,Etching,53.24,"Temple of Jupiter, Ægina",http://pstrial-2019-12-16.toscrape.com/item/27305/Temple_of_Jupiter_gina?back=155,18.73
Charles Ricketts,insunsh,2009-10-02,1894,print was removed from the mount bearing the drystamp of publication,3 1/2 x 3 11/16 in. (8.89 x 9.37 cm) (plate),9.37,http://pstrial-2019-12-16.toscrape.com/content/27191.jpg,Not on View,Wood engraving,882.76,Inondation (Deluge),http://pstrial-2019-12-16.toscrape.com/item/27191/Inondation_Deluge_?back=155,8.89
Martin Schongauer,insunsh,2014-10-19,c. 1475 or 1491,Half Figure,5 3/4 x 4 5/16 in. (14.61 x 10.95 cm) (image),10.95,http://pstrial-2019-12-16.toscrape.com/content/27166.jpg,Not on View,Engraving,496.89,A Foolish Virgin,http://pstrial-2019-12-16.toscrape.com/item/27166/A_Foolish_Virgin?back=155,14.61
"Joseph Mallord William Turner R.A.,Thomas Goff Lupton",insunsh,2014-08-02,1858,"Plate 52, Part XI, [S.P.] ","7 3/16 x 10 1/2 in. (18.26 x 26.67 cm) (image)
8 7/16 x 10 1/2 in. (21.43 x 26.67 cm) (plate)
12 1/16 x 16 3/4 in. (30.64 x 42.55 cm) (sheet)",26.67,http://pstrial-2019-12-16.toscrape.com/content/27129.jpg,Not on View,Etching and mezzotint,666.46,Solway Moss,http://pstrial-2019-12-16.toscrape.com/item/27129/Solway_Moss?back=155,18.26
Charles-Émile Jacque,insunsh,2016-03-15,19th century,,"9 3/4 x 7 in. (24.77 x 17.78 cm) (plate)
17 13/16 x 12 7/8 in. (45.24 x 32.7 cm) (sheet)",17.78,http://pstrial-2019-12-16.toscrape.com/content/26949.jpg,Not on View,Drypoint,155.0,The Shepherdess,http://pstrial-2019-12-16.toscrape.com/item/26949/The_Shepherdess?back=155,24.77
Sir Frank Short,insunsh,2013-10-23,19th century,,5 15/16 x 7 7/8 in. (15.08 x 20 cm) (plate),20.0,http://pstrial-2019-12-16.toscrape.com/content/26754.jpg,Not on View,Etching,724.69,"Seine Boats; St. Ives, Cornwall",http://pstrial-2019-12-16.toscrape.com/item/26754/Seine_Boats_St_Ives_Cornwall?back=155,15.08
Joseph Mallord William Turner R.A.,insunsh,2010-12-25,1807-1819,"Plate 55, Part XI, 1816, [M]","7 1/16 x 10 1/2 in. (17.94 x 26.67 cm) (image)
8 7/16 x 12 in. (21.43 x 30.48 cm) (plate)
11 5/8 x 17 in. (29.53 x 43.18 cm) (sheet)",26.67,http://pstrial-2019-12-16.toscrape.com/content/26731.jpg,Not on View,Etching and mezzotint,66.15,Entrance of Calais Harbour,http://pstrial-2019-12-16.toscrape.com/item/26731/Entrance_of_Calais_Harbour?back=155,17.94
Joseph Mallord William Turner R.A.,insunsh,2008-12-23,19th century,,7 1/8 x 10 1/4 in. (18.1 x 26.04 cm) (image),26.04,http://pstrial-2019-12-16.toscrape.com/content/26684.jpg,Not on View,Etching,872.08,From Spenser's Fairy Queen,http://pstrial-2019-12-16.toscrape.com/item/26684/From_Spenser_s_Fairy_Queen?back=155,18.1
Yamanaka Shinten'ō,insunsh,2017-05-18,second half 19th century,"four lines of looping, loose calligraphy with smaller lines at L; dark blue mount","70 5/16 × 18 1/4 in. (178.59 × 46.36 cm) (image)
88 3/4 × 23 15/16 in. (225.43 × 60.8 cm) (mount, without roller)",,http://pstrial-2019-12-16.toscrape.com/content/28137.jpg,Not on View,Ink on paper,128.29,Recalling an Imperial Visit,http://pstrial-2019-12-16.toscrape.com/item/28137/Recalling_an_Imperial_Visit?back=155,
Unknown Japanese,insunsh,2015-02-17,20th century,"royal blue uchikake with cranes and colorful ribbons motifs; ribbon designs include embroidered flowers, fans, waves, phoenixes, crests, and clouds",78 × 53 1/8 in. (198.12 × 134.94 cm),,http://pstrial-2019-12-16.toscrape.com/content/27887.jpg,Not on View,"Dye on silk, cotton filled bottom",322.42,Wedding robe (uchikake),http://pstrial-2019-12-16.toscrape.com/item/27887/Wedding_robe_uchikake_?back=155,
Takeuchi Kimiaki,insunsh,2016-06-24,early 21st century,round sake cup with gray glaze; pale gray-green glaze around lip and inside,2 1/4 × 2 3/4 in. (5.72 × 6.99 cm),,http://pstrial-2019-12-16.toscrape.com/content/27847.jpg,Not on View,,830.73,Sake cup (guinomi),http://pstrial-2019-12-16.toscrape.com/item/27847/Sake_cup_guinomi_?back=155,
Ike Taiga,insunsh,2013-09-08,mid 18th century,"eleven lines of text; landscape with tall rock formation, figures in a boat, and leafless trees growing from flat rocks in LRQ","53 13/16 × 23 3/16 in. (136.68 × 58.9 cm) (image)
85 1/4 × 28 7/8 in. (216.54 × 73.34 cm) (mount, without roller)",,http://pstrial-2019-12-16.toscrape.com/content/27804.jpg,Not on View,ink and color on paper,483.54,Heart Sutra and Landscape,http://pstrial-2019-12-16.toscrape.com/item/27804/Heart_Sutra_and_Landscape?back=155,
Yoshida Tōshi (self-published),insunsh,2017-07-16,1942,five-level pagoda at center background; small hut with two figures at left in front of pagoda; weeping willow tree at right on the band of a calm body of water in foreground; pink sky,10 1/4 × 7 3/4 in. (26.04 × 19.69 cm) (sheet),,http://pstrial-2019-12-16.toscrape.com/content/27744.jpg,Not on View,Woodblock print; ink and color on paper,798.09,Pagoda in Kyoto,http://pstrial-2019-12-16.toscrape.com/item/27744/Pagoda_in_Kyoto?back=155,
Fukami Sueharu,insunsh,2010-07-30,1978,"two sloping forms made of two and three strips of porcelain, resembling currents of water; piece with three strips also has smaller petal-like protrusion at end; both pieces raised on short plexi or glass post; larger piece has gold fill at bottom",2 7/8 × 20 3/4 × 7 5/8 in. (7.3 × 52.71 × 19.37 cm),,http://pstrial-2019-12-16.toscrape.com/content/27736.jpg,Not on View,"Semi-porcelain, glaze, gold",599.06,Current I,http://pstrial-2019-12-16.toscrape.com/item/27736/Current_I?back=155,
Yoshida Tōshi (self-published),insunsh,2013-03-14,1946,"interior view of temple structure; large red paper lantern hangs from the ceiling between supports near  center; other smaller, white lanterns also suspended from ceiling; a few visitors touring the building, including a woman in blue kimono lower center who appears to gaze up to the lantern","14 3/4 × 9 9/16 in. (37.47 × 24.29 cm) (image)
15 7/8 × 10 5/8 in. (40.32 × 26.99 cm) (sheet)",,http://pstrial-2019-12-16.toscrape.com/content/27730.jpg,Not on View,Woodblock print; ink and colors on paper,63.17,Ishiyama Temple,http://pstrial-2019-12-16.toscrape.com/item/27730/Ishiyama_Temple?back=155,
Nangaku,insunsh,2011-03-03,20th century,"twenty-four lines of angular, sometimes looping writing on long, narrow sheet; red intaglio stamp at LLC over final line",4 3/8 × 15 15/16 in. (11.11 × 40.48 cm),,http://pstrial-2019-12-16.toscrape.com/content/27679.jpg,Not on View,Ink on paper,444.89,Letter,http://pstrial-2019-12-16.toscrape.com/item/27679/Letter?back=155,
Unknown Japanese,insunsh,2011-04-07,19th century,"large kettle with two details cut in sides, lion head-shaped ring holders on either side, cut-out decoration along top lip; supports a smaller, squat, cast teapot with wide open mouth; small reddish lid; two detachable iron rings; ceramic scoop; wooden coaster","18 7/8 × 14 5/8 in. (47.94 × 37.15 cm) (without coaster)
19 1/2 × 14 5/8 in. (49.53 × 37.15 cm) (with coaster)",,http://pstrial-2019-12-16.toscrape.com/content/27667.jpg,G225,"Bronze, cast iron, ceramic, wood",313.41,Hibachi,http://pstrial-2019-12-16.toscrape.com/item/27667/Hibachi?back=155,
Tsukimisato Shigeru,insunsh,2014-12-31,second half 20th century,Mt. Fuji in upper center looms behind rows and columns of brilliant green tea fields; white and abstracted waves of clouds surround mountain,13 1/2 × 9 1/4 in. (34.29 × 23.5 cm) (image),,http://pstrial-2019-12-16.toscrape.com/content/27662.jpg,Not on View,Woodblock print; ink and colors on paper,95.31,Green Tea Fields of Shizuoka (Mt. Fuji),http://pstrial-2019-12-16.toscrape.com/item/27662/Green_Tea_Fields_of_Shizuoka_M?back=155,
"Wanda Gág,The Spiral Press, New York",insunsh,2009-11-02,1929,from 1929 calender for The Spiral Press,"5 5/8 x 2 7/8 in. (14.29 x 7.3 cm) (image)
6 1/16 x 3 5/16 in. (15.4 x 8.41 cm) (sheet)",7.3,http://pstrial-2019-12-16.toscrape.com/content/29162.jpg,Not on View,Linoleum cut,472.26,Type Frames,http://pstrial-2019-12-16.toscrape.com/item/29162/Type_Frames?back=155,14.29
Winslow Homer,insunsh,2014-01-28,1858,On same page as P.82.40.123,5 3/4 x 9 1/8 in. (14.6 x 23.2 cm),23.2,http://pstrial-2019-12-16.toscrape.com/content/29109.jpg,Not on View,Wood engraving,800.06,Santa Claus and His Presents,http://pstrial-2019-12-16.toscrape.com/item/29109/Santa_Claus_and_His_Presents?back=155,14.6
Lucas Huygensz van Leyden,insunsh,2013-11-08,1513,,11 11/16 x 14 3/4 in. (29.69 x 37.47 cm) (image),37.47,http://pstrial-2019-12-16.toscrape.com/content/28771.jpg,Not on View,Engraving,787.22,The Adoration of the Magi,http://pstrial-2019-12-16.toscrape.com/item/28771/The_Adoration_of_the_Magi?back=155,29.69
"George Overby ""Pop"" Hart",insunsh,2012-05-03,1925,,"9 1/2 x 12 9/16 in. (24.13 x 31.91 cm) (plate)
12 1/2 x 15 1/4 in. (31.75 x 38.74 cm) (sheet)",31.91,http://pstrial-2019-12-16.toscrape.com/content/28762.jpg,Not on View,Lithograph,784.58,Springtime in New Orleans,http://pstrial-2019-12-16.toscrape.com/item/28762/Springtime_in_New_Orleans?back=155,24.13
Joseph Goldyne,insunsh,2009-11-30,1978,,"8 3/4 x 9 7/8 in. (22.23 x 25.08 cm) (image)
11 1/8 x 15 in. (28.26 x 38.1 cm) (sheet)",25.08,http://pstrial-2019-12-16.toscrape.com/content/28749.jpg,Not on View,Color monotype,292.74,Dirty Dish I,http://pstrial-2019-12-16.toscrape.com/item/28749/Dirty_Dish_I?back=155,22.23
Benjamin Miller,insunsh,2011-06-13,1928,,"12 7/8 x 8 9/16 in. (32.7 x 21.75 cm) (image)
16 11/16 x 10 1/4 in. (42.39 x 26.04 cm) (sheet)",21.75,http://pstrial-2019-12-16.toscrape.com/content/28610.jpg,Not on View,Woodcut,413.26,Judith in the Tent of Holofernes,http://pstrial-2019-12-16.toscrape.com/item/28610/Judith_in_the_Tent_of_Holofern?back=155,32.7
Charles Storm van's Gravesande,insunsh,2017-08-02,19th century,,8 1/16 x 13 1/16 in. (20.48 x 33.18 cm) (plate),33.18,http://pstrial-2019-12-16.toscrape.com/content/28573.jpg,Not on View,Etching and drypoint,311.92,Dordrecht-The Biesbosch,http://pstrial-2019-12-16.toscrape.com/item/28573/Dordrecht-The_Biesbosch?back=155,20.48
Albert Baertsoen,insunsh,2012-10-08,18th Century,,5 11/16 x 8 3/16 in. (14.45 x 20.8 cm) (plate),20.8,http://pstrial-2019-12-16.toscrape.com/content/28463.jpg,Not on View,Etching,293.97,Veere - Le Soir,http://pstrial-2019-12-16.toscrape.com/item/28463/Veere_-_Le_Soir?back=155,14.45
Kan Chazan,insunsh,2016-07-22,late 18th - early 19th century,lines of verse written in varying sizes; red corrections written between lines at L side of sheet; mounted on tan sheet with gold flecks,"6 5/16 × 26 7/8 in. (16.03 × 68.26 cm) (sheet)
7 13/16 × 28 1/4 in. (19.84 × 71.76 cm) (mount)",,http://pstrial-2019-12-16.toscrape.com/content/28158.jpg,Not on View,Black and red ink on paper,758.17,Waka Poems with Corrections,http://pstrial-2019-12-16.toscrape.com/item/28158/Waka_Poems_with_Corrections?back=155,
Henri Cartier-Bresson,insunsh,2009-11-03,1923-2000,line of soldiers in front of snow-covered evergreens; cobblestone(?) street; large building behind wall,"9 1/2 x 14 1/4 in. (24.13 x 36.2 cm) (image)
12 x 16 1/8 in. (30.48 x 40.96 cm) (sheet)",36.2,http://pstrial-2019-12-16.toscrape.com/content/29889.jpg,Not on View,Gelatin silver print,510.84,Moscow,http://pstrial-2019-12-16.toscrape.com/item/29889/Moscow?back=155,24.13
"Émile Bernard,Victor Hugo,Le Livre Contemporain, Paris",insunsh,2011-06-25,1935,,"13 3/4 x 9 3/4 in. (34.93 x 24.77 cm) (plate, each, varies slightly)
18 3/8 x 13 7/8 in. (46.67 x 35.24 cm) (sheet)",24.77,http://pstrial-2019-12-16.toscrape.com/content/29808.jpg,Not on View,Etching with aquatint and roulette,598.86,Plate from La fin de Satan,http://pstrial-2019-12-16.toscrape.com/item/29808/Plate_from_La_fin_de_Satan?back=155,34.93
Utagawa Sadahide,insunsh,2010-05-27,1864,"3 volumes from a set of 4 (volume #3 missing); .1 (vol.1) yellow with green label along left edge, bound with green string; .2 (vol.2) pale-green with yellow label along left edge, bound with green string; .3 (vol.4) blue green with yellow label along left edge, bound with pale-blue string; other #'s J170 #16",5/16 x 4 5/8 x 7 1/16 in. (0.8 x 11.8 x 18 cm),,http://pstrial-2019-12-16.toscrape.com/content/29793.jpg,Not on View,Woodblock printed book; ink and limited color on paper,172.77,Pictured Phenomenon vol.2,http://pstrial-2019-12-16.toscrape.com/item/29793/Pictured_Phenomenon_vol_2?back=155,
Claude Burdel,insunsh,2013-11-18,1751,eight curved swords interlaced at the top and bottom with a floral design situated between them; Roman numeral VIII printed on left and right sides of card; from a deck of 78 hand-colored triumph playing cards,"4 7/16 x 2 7/16 in. (11.27 x 6.19 cm) (image, sheet)
4 5/8 x 2 1/2 in. (11.75 x 6.35 cm) (sheet, each)",6.19,http://pstrial-2019-12-16.toscrape.com/content/29792.jpg,G317,Hand-colored woodcut,887.63,Eight of Swords,http://pstrial-2019-12-16.toscrape.com/item/29792/Eight_of_Swords?back=155,11.27
Claude Burdel,insunsh,2015-06-23,1751,two curved swords crossed at the top and bottom and one straight sword situated between them; Roman numeral III printed on left and right sides of card; from a deck of 78 hand-colored triumph playing cards,"4 7/16 x 2 7/16 in. (11.27 x 6.19 cm) (image, sheet)
4 5/8 x 2 1/2 in. (11.75 x 6.35 cm) (sheet, each)",6.19,http://pstrial-2019-12-16.toscrape.com/content/29730.jpg,G317,Hand-colored woodcut,818.62,Three of Swords,http://pstrial-2019-12-16.toscrape.com/item/29730/Three_of_Swords?back=155,11.27
Yoshida Hiroshi (self-published),insunsh,2015-09-24,1925,,10 1/2 x 16 1/16 in. (26.6 x 40.8 cm) (sheet),40.8,http://pstrial-2019-12-16.toscrape.com/content/29516.jpg,Not on View,Woodblock print; ink and color on paper,189.75,Jungfrau,http://pstrial-2019-12-16.toscrape.com/item/29516/Jungfrau?back=155,26.6
Clarence H. White,insunsh,2008-03-16,20th century,,8 1/2 x 5 3/4 in. (21.59 x 14.61 cm) (image),14.61,http://pstrial-2019-12-16.toscrape.com/content/29290.jpg,Not on View,Photogravure,77.37,The Beatty Children,http://pstrial-2019-12-16.toscrape.com/item/29290/The_Beatty_Children?back=155,21.59
Benjamin Miller,insunsh,2010-11-28,1928,,10 15/16 x 8 in. (27.78 x 20.32 cm) (image),20.32,http://pstrial-2019-12-16.toscrape.com/content/29230.jpg,G280,Woodcut,639.37,The City,http://pstrial-2019-12-16.toscrape.com/item/29230/The_City?back=155,27.78
Cornelis Dusart,insunsh,2010-11-28,c. 1685,,10 9/16 x 13 9/16 in. (26.83 x 34.45 cm) (plate),34.45,http://pstrial-2019-12-16.toscrape.com/content/29222.jpg,Not on View,Etching,642.79,The Large Village Fair,http://pstrial-2019-12-16.toscrape.com/item/29222/The_Large_Village_Fair?back=155,26.83
